timestamp,tulane_cents,tulane_decimal,tulane_probability,northtexas_cents,northtexas_decimal,northtexas_probability,latency_ms
2025-12-05 19:11:05.053,60,1.68,0.60,49,2.05,0.49,557
2025-12-05 19:11:06.167,60,1.68,0.60,49,2.05,0.49,594
2025-12-05 19:11:07.213,60,1.68,0.60,49,2.05,0.49,544
2025-12-05 19:11:08.306,60,1.68,0.60,49,2.05,0.49,561
2025-12-05 19:11:09.352,60,1.68,0.60,49,2.05,0.49,543
2025-12-05 19:11:10.418,60,1.68,0.60,49,2.05,0.49,560
2025-12-05 19:11:11.472,60,1.68,0.60,49,2.05,0.49,552
2025-12-05 19:11:12.517,60,1.68,0.60,49,2.05,0.49,540
2025-12-05 19:11:13.555,60,1.68,0.60,49,2.05,0.49,537
2025-12-05 19:11:14.633,60,1.68,0.60,49,2.05,0.49,565
2025-12-05 19:11:15.685,60,1.68,0.60,49,2.05,0.49,548
2025-12-05 19:11:16.740,60,1.68,0.60,49,2.05,0.49,549
2025-12-05 19:11:17.791,60,1.68,0.60,49,2.05,0.49,548
2025-12-05 19:11:18.851,60,1.68,0.60,49,2.05,0.49,557
2025-12-05 19:11:20.911,60,1.68,0.60,49,2.05,0.49,1559
2025-12-05 19:11:21.999,60,1.68,0.60,49,2.05,0.49,546
2025-12-05 19:11:23.058,60,1.68,0.60,49,2.05,0.49,553
2025-12-05 19:11:24.117,60,1.68,0.60,49,2.05,0.49,555
2025-12-05 19:11:25.170,60,1.68,0.60,49,2.05,0.49,552
2025-12-05 19:11:26.277,60,1.68,0.60,49,2.05,0.49,601
2025-12-05 19:11:27.327,60,1.68,0.60,49,2.05,0.49,546
2025-12-05 19:11:28.377,60,1.68,0.60,49,2.05,0.49,548
2025-12-05 19:11:29.422,60,1.68,0.60,49,2.05,0.49,540
2025-12-05 19:11:30.462,60,1.68,0.60,49,2.05,0.49,534
2025-12-05 19:11:31.516,60,1.68,0.60,49,2.05,0.49,553
2025-12-05 19:11:32.566,60,1.68,0.60,49,2.05,0.49,547
2025-12-05 19:11:33.617,60,1.68,0.60,49,2.05,0.49,549
2025-12-05 19:11:34.675,60,1.68,0.60,49,2.05,0.49,557
2025-12-05 19:11:35.723,60,1.68,0.60,49,2.05,0.49,541
2025-12-05 19:11:36.785,60,1.68,0.60,49,2.05,0.49,557
2025-12-05 19:11:37.865,60,1.68,0.60,49,2.05,0.49,577
2025-12-05 19:11:38.916,60,1.68,0.60,49,2.05,0.49,545
2025-12-05 19:11:39.966,60,1.68,0.60,49,2.05,0.49,546
2025-12-05 19:11:41.009,60,1.68,0.60,49,2.05,0.49,537
2025-12-05 19:11:42.101,60,1.68,0.60,49,2.05,0.49,543
2025-12-05 19:11:43.177,60,1.68,0.60,49,2.05,0.49,570
2025-12-05 19:11:44.232,60,1.68,0.60,49,2.05,0.49,551
2025-12-05 19:11:45.280,60,1.68,0.60,49,2.05,0.49,543
2025-12-05 19:11:46.328,60,1.68,0.60,49,2.05,0.49,542
2025-12-05 19:11:47.402,60,1.68,0.60,49,2.05,0.49,555
2025-12-05 19:11:48.444,60,1.68,0.60,49,2.05,0.49,536
2025-12-05 19:11:49.504,60,1.68,0.60,49,2.05,0.49,553
2025-12-05 19:11:50.563,60,1.68,0.60,49,2.05,0.49,553
2025-12-05 19:11:51.633,60,1.68,0.60,49,2.05,0.49,565
2025-12-05 19:11:52.674,60,1.68,0.60,49,2.05,0.49,535
2025-12-05 19:11:53.722,60,1.68,0.60,49,2.05,0.49,542
2025-12-05 19:11:54.771,60,1.68,0.60,49,2.05,0.49,543
2025-12-05 19:11:55.815,60,1.68,0.60,49,2.05,0.49,541
2025-12-05 19:11:56.854,60,1.68,0.60,49,2.05,0.49,535
2025-12-05 19:11:57.901,60,1.68,0.60,49,2.05,0.49,542
2025-12-05 19:11:58.952,60,1.68,0.60,49,2.05,0.49,544
2025-12-05 19:12:00.007,60,1.68,0.60,49,2.05,0.49,552
2025-12-05 19:12:01.055,60,1.68,0.60,49,2.05,0.49,543
2025-12-05 19:12:02.096,60,1.68,0.60,49,2.05,0.49,535
2025-12-05 19:12:03.126,60,1.68,0.60,49,2.05,0.49,527
2025-12-05 19:12:04.168,60,1.68,0.60,49,2.05,0.49,538
2025-12-05 19:12:05.251,60,1.68,0.60,49,2.05,0.49,547
2025-12-05 19:12:06.285,60,1.68,0.60,49,2.05,0.49,533
2025-12-05 19:12:07.322,60,1.68,0.60,49,2.05,0.49,533
2025-12-05 19:12:08.369,60,1.68,0.60,49,2.05,0.49,543
2025-12-05 19:12:09.451,60,1.68,0.60,49,2.05,0.49,576
2025-12-05 19:12:10.520,60,1.68,0.60,49,2.05,0.49,538
2025-12-05 19:12:11.577,60,1.68,0.60,49,2.05,0.49,551
2025-12-05 19:12:12.622,60,1.68,0.60,49,2.05,0.49,542
2025-12-05 19:12:13.666,60,1.68,0.60,49,2.05,0.49,542
2025-12-05 19:12:14.710,60,1.68,0.60,49,2.05,0.49,541
2025-12-05 19:12:15.763,60,1.68,0.60,49,2.05,0.49,552
2025-12-05 19:12:16.835,60,1.68,0.60,49,2.05,0.49,556
2025-12-05 19:12:17.885,60,1.68,0.60,49,2.05,0.49,544
2025-12-05 19:12:18.930,60,1.68,0.60,49,2.05,0.49,540
2025-12-05 19:12:19.973,60,1.68,0.60,49,2.05,0.49,539
2025-12-05 19:12:21.015,60,1.68,0.60,49,2.05,0.49,535
2025-12-05 19:12:22.062,60,1.68,0.60,49,2.05,0.49,543
2025-12-05 19:12:23.119,60,1.68,0.60,49,2.05,0.49,553
2025-12-05 19:12:24.218,60,1.68,0.60,49,2.05,0.49,597
2025-12-05 19:12:25.267,60,1.68,0.60,49,2.05,0.49,545
2025-12-05 19:12:26.404,60,1.68,0.60,49,2.05,0.49,632
2025-12-05 19:12:27.457,60,1.68,0.60,49,2.05,0.49,548
2025-12-05 19:12:28.509,60,1.68,0.60,49,2.05,0.49,537
2025-12-05 19:12:29.549,60,1.68,0.60,49,2.05,0.49,536
2025-12-05 19:12:30.603,60,1.68,0.60,49,2.05,0.49,552
2025-12-05 19:12:31.674,60,1.68,0.60,49,2.05,0.49,565
2025-12-05 19:12:32.724,60,1.68,0.60,49,2.05,0.49,544
2025-12-05 19:12:33.766,60,1.68,0.60,49,2.05,0.49,536
2025-12-05 19:12:35.048,60,1.68,0.60,49,2.05,0.49,546
2025-12-05 19:12:36.095,60,1.68,0.60,49,2.05,0.49,546
